	Feature	Coefficient
78	er_positive	0.0036787119907174177
14	X204014_at	0.0028815692461828983
13	X203391_at	0.002735392759697696
4	X201288_at	0.0027036775889278304
74	X221916_at	0.0026793122430529585
8	X202239_at	0.0022705755088061005
12	X203306_s_at	0.002186790829994628
39	X211779_x_at	0.002142778232003896
75	X221928_at	0.002139181932838952
15	X204015_s_at	0.0019565714813036977
66	X219724_s_at	0.0018455441454294503
5	X201368_at	0.0017183939571619948
20	X204740_at	0.0016495052576124786
11	X202687_s_at	0.0016248433286328438
44	X214919_s_at	0.0016125752974962338
25	X206295_at	0.0015747398772518039
58	X218478_s_at	0.0015656158170489136
79	grade_intermediate	0.0015641146634641197
1	X200965_s_at	0.0015159485399050413
46	X215633_x_at	0.0013697439928142413
37	X211382_s_at	0.0012930527083983622
63	X219340_s_at	0.0012789071469434044
55	X217771_at	0.0010516827401221452
0	X200726_at	0.0009501488334188603
48	X216103_at	0.0009204316959464641
72	X221816_s_at	0.0008525039438353499
81	grade_unkown	0.0008179696625904402
54	X217767_at	0.0007042749370446235
69	X221241_s_at	0.0006309205952567611
28	X208683_at	0.000532819847028179
57	X218430_s_at	0.0005113222718514411
50	X217019_at	0.0005086990057255386
47	X216010_x_at	0.00035411430659617325
19	X204631_at	0.0003523861169606862
45	X215510_at	0.00033705044609410624
17	X204218_at	0.0003339654595603274
76	age	0.0002971732335143121
35	X210593_at	7.948762570584924e-05
70	X221344_at	6.323349222854973e-05
33	X210028_s_at	-2.8234638281997746e-05
24	X205848_at	-3.838493644110668e-05
41	X212567_s_at	-9.53099893325694e-05
16	X204073_s_at	-9.671307537427124e-05
62	X218914_at	-0.00011582234218519687
51	X217102_at	-0.00013747265675088076
56	X217815_at	-0.0001391502350031645
49	X216693_x_at	-0.00024963366191807653
71	X221634_at	-0.00035574897750326726
22	X204888_s_at	-0.00041107221742352977
30	X209524_at	-0.0004974989006884362
34	X210314_x_at	-0.000506033734517231
59	X218533_s_at	-0.0005423270698109921
73	X221882_s_at	-0.0006380508195187859
32	X209862_s_at	-0.0006575455493070353
29	X209500_x_at	-0.0006638537136179841
2	X201068_s_at	-0.000681841798111238
65	X219588_s_at	-0.0006883485501154412
52	X217404_s_at	-0.0007174188385071787
53	X217471_at	-0.0007518427737198536
31	X209835_x_at	-0.0008187855096320561
43	X214915_at	-0.000991850943492316
40	X212014_x_at	-0.0012186458425359386
18	X204540_at	-0.0012269612488955972
42	X214806_at	-0.0012383718396558234
67	X220886_at	-0.0012777270837936448
38	X211762_s_at	-0.0013131833042505897
64	X219510_at	-0.001326105915122692
10	X202418_at	-0.0013901482097744581
21	X204768_s_at	-0.0014441628382224382
26	X207118_s_at	-0.001540795514863909
3	X201091_s_at	-0.0015539821681725555
60	X218782_s_at	-0.001575776024327337
68	X221028_s_at	-0.0016912977655090572
36	X211040_x_at	-0.001891898245238859
27	X208180_s_at	-0.0019245272696774736
7	X201664_at	-0.002025392153611729
6	X201663_s_at	-0.002164951288425009
77	size	-0.002228130137908966
23	X205034_at	-0.0022387683827208376
80	grade_poorly differentiated	-0.002603082350121327
9	X202240_at	-0.003301637740199329
61	X218883_s_at	-0.00395800554006285
